Type of Trip,Purpose of Trip,Year,Visitors
Daytrip,Holiday,2009,73614
Daytrip,Holiday,2010,77795
Daytrip,Holiday,2011,74745
Daytrip,Holiday,2012,78585
Daytrip,Holiday,2013,79400
Daytrip,Holiday,2014,81696
Daytrip,Holiday,2015,86031
Daytrip,Holiday,2016,93409
Daytrip,Holiday,2017,91668
Daytrip,Holiday,2018,101015
Daytrip,Holiday,2019,106145
Daytrip,Holiday,Total,944103
Daytrip,Visiting Family and Friends,2009,42171
Daytrip,Visiting Family and Friends,2010,43676
Daytrip,Visiting Family and Friends,2011,47144
Daytrip,Visiting Family and Friends,2012,49056
Daytrip,Visiting Family and Friends,2013,50622
Daytrip,Visiting Family and Friends,2014,49844
Daytrip,Visiting Family and Friends,2015,48683
Daytrip,Visiting Family and Friends,2016,51223
Daytrip,Visiting Family and Friends,2017,51220
Daytrip,Visiting Family and Friends,2018,56897
Daytrip,Visiting Family and Friends,2019,63515
Daytrip,Visiting Family and Friends,Total,554050
Daytrip,Business,2009,14850
Daytrip,Business,2010,15712
Daytrip,Business,2011,15213
Daytrip,Business,2012,19599
Daytrip,Business,2013,17181
Daytrip,Business,2014,18068
Daytrip,Business,2015,16968
Daytrip,Business,2016,18864
Daytrip,Business,2017,18708
Daytrip,Business,2018,19462
Daytrip,Business,2019,28991
Daytrip,Business,Total,203616
Daytrip,Other,2009,14090
Daytrip,Other,2010,17892
Daytrip,Other,2011,19184
Daytrip,Other,2012,21606
Daytrip,Other,2013,20655
Daytrip,Other,2014,21671
Daytrip,Other,2015,24134
Daytrip,Other,2016,24701
Daytrip,Other,2017,25475
Daytrip,Other,2018,24487
Daytrip,Other,2019,28668
Daytrip,Other,Total,242564
Overnight,Holiday,2009,30899
Overnight,Holiday,2010,31165
Overnight,Holiday,2011,30955
Overnight,Holiday,2012,31074
Overnight,Holiday,2013,32690
Overnight,Holiday,2014,34351
Overnight,Holiday,2015,34822
Overnight,Holiday,2016,36890
Overnight,Holiday,2017,37639
Overnight,Holiday,2018,40826
Overnight,Holiday,2019,45340
Overnight,Holiday,Total,386652
Overnight,Visiting Family and Friends,2009,23069
Overnight,Visiting Family and Friends,2010,22475
Overnight,Visiting Family and Friends,2011,23608
Overnight,Visiting Family and Friends,2012,25886
Overnight,Visiting Family and Friends,2013,26135
Overnight,Visiting Family and Friends,2014,27767
Overnight,Visiting Family and Friends,2015,29064
Overnight,Visiting Family and Friends,2016,30186
Overnight,Visiting Family and Friends,2017,32068
Overnight,Visiting Family and Friends,2018,34326
Overnight,Visiting Family and Friends,2019,38368
Overnight,Visiting Family and Friends,Total,312953
Overnight,Business,2009,12715
Overnight,Business,2010,12490
Overnight,Business,2011,13534
Overnight,Business,2012,14101
Overnight,Business,2013,14139
Overnight,Business,2014,15284
Overnight,Business,2015,17677
Overnight,Business,2016,18420
Overnight,Business,2017,19747
Overnight,Business,2018,22419
Overnight,Business,2019,25591
Overnight,Business,Total,186116
Overnight,Other,2009,3321
Overnight,Other,2010,3680
Overnight,Other,2011,4223
Overnight,Other,2012,4167
Overnight,Other,2013,3935
Overnight,Other,2014,4917
Overnight,Other,2015,5626
Overnight,Other,2016,5648
Overnight,Other,2017,6653
Overnight,Other,2018,6491
Overnight,Other,2019,6903
Overnight,Other,Total,55563
International,Holiday,2009,2176246
International,Holiday,2010,2267039
International,Holiday,2011,2167893
International,Holiday,2012,2298344
International,Holiday,2013,2462304
International,Holiday,2014,2635741
International,Holiday,2015,2878950
International,Holiday,2016,3532457
International,Holiday,2017,3737057
International,Holiday,2018,3900372
International,Holiday,2019,4007846
International,Holiday,Total,32064249
International,Visiting Family and Friends,2009,1554104
International,Visiting Family and Friends,2010,1589600
International,Visiting Family and Friends,2011,1613847
International,Visiting Family and Friends,2012,1722376
International,Visiting Family and Friends,2013,1866732
International,Visiting Family and Friends,2014,2038931
International,Visiting Family and Friends,2015,2173909
International,Visiting Family and Friends,2016,2217044
International,Visiting Family and Friends,2017,2415303
International,Visiting Family and Friends,2018,2563456
International,Visiting Family and Friends,2019,2612238
International,Visiting Family and Friends,Total,22367540
International,Business,2009,697109
International,Business,2010,806709
International,Business,2011,839618
International,Business,2012,858501
International,Business,2013,835370
International,Business,2014,852658
International,Business,2015,802954
International,Business,2016,818300
International,Business,2017,927657
International,Business,2018,996195
International,Business,2019,1013331
International,Business,Total,9448402
International,Other,2009,732493
International,Other,2010,770154
International,Other,2011,822318
International,Other,2012,841996
International,Other,2013,840796
International,Other,2014,888170
International,Other,2015,1031793
International,Other,2016,1070753
International,Other,2017,1055079
International,Other,2018,1063517
International,Other,2019,1075183
International,Other,Total,10192252
